0,0,31
1,0,-31
2,0,31
3,0,-31
4,0,31
5,0,-31
6,0,31
7,0,-31
8,0,31
9,0,-31
10,0,31
11,0,-31
12,0,31
13,0,-31
14,0,31
15,0,-31
16,0,31
17,0,-31
18,0,31
0,31,31
1,31,-31
2,31,31
3,31,-31
4,31,31
5,31,-31
6,31,31
7,31,-31
8,31,31
9,31,-31
10,31,31
11,31,-31
12,31,31
13,31,-31
14,31,31
15,31,-31
16,31,31
17,31,-31
18,31,31
19,0,31
20,0,-31
21,0,31
22,0,-31
23,0,31
24,0,-31
25,0,31
26,0,-31
27,0,31
28,0,-31
29,0,31
30,0,-31
31,0,31
32,0,-31
33,0,31
34,0,-31
35,0,31
36,0,-31
37,0,31
19,31,31
20,31,-31
21,31,31
22,31,-31
23,31,31
24,31,-31
25,31,31
26,31,-31
27,31,31
28,31,-31
29,31,31
30,31,-31
31,31,31
32,31,-31
33,31,31
34,31,-31
35,31,31
36,31,-31
37,31,31
